1.500   1.500   -24.767492998632257
.500   1.600   -43.84144546285005
1.500   1.700   -43.94622387020674
1.500   1.800   -44.48373482222095
1.500   1.900   -45.267343868083145
1.500   2.000   -46.14832460097033
1.500   2.100   -47.03703319178361
1.500   2.200   -47.88807511494601
1.500   2.300   -48.68235854404388
1.500   2.400   -49.41363146573238
1.500   2.500   -50.080654017218166
1.500   2.600   -50.68449507979882
1.500   2.700   -51.231222281973764
1.500   2.800   -51.724889060895364
1.500   2.900   -52.17339775808278
1.500   3.000   -52.58205453192289
1.500   3.100   -52.95795168816276
1.500   3.200   -53.30767216663864
1.500   3.300   -53.63848520513635
1.500   3.400   -53.954908417474265
1.500   3.500   -54.26412170651114
1.500   3.600   -54.56750579204955
1.500   3.700   -54.86732627165595
1.500   3.800   -55.16457495730215
1.500   3.900   -55.45835745176062
1.500   4.000   -55.7487866629964
1.500   4.100   -56.0351714182842
1.500   4.200   -56.317524104643724
1.500   4.300   -56.59497940053901
1.500   4.400   -56.86851733917053
1.500   4.500   -57.13572998165134
1.500   4.600   -57.39519305071084
1.500   4.700   -57.64921749401062
1.500   4.800   -57.89230085217082
1.500   4.900   -58.12153585068206
1.500   5.000   -58.33866851372743
1.500   5.100   -58.53768409737776
1.500   5.200   -58.717118479609354
1.500   5.300   -58.88052841693918
1.500   5.400   -59.02911734137525
1.500   5.500   -59.16528296371975
1.500   5.600   -59.29245744950033
1.500   5.700   -59.41366959198295
1.500   5.800   -59.53255652230861
1.500   5.900   -59.65067206763867
1.500   6.000   -59.76508056297681
1.600   1.500   -43.841529354242795
1.600   1.600   -42.85450336628133
1.600   1.700   -42.484023789653854
1.600   1.800   -42.75974902323295
1.600   1.900   -43.49832658390776
1.600   2.000   -44.46762512784706
1.600   2.100   -45.50059783255341
1.600   2.200   -46.50597510372749
1.600   2.300   -47.44571833671262
1.600   2.400   -48.3058462348001
1.600   2.500   -49.083820721431536
1.600   2.600   -49.78360709668266
1.600   2.700   -50.41160460783162
1.600   2.800   -50.97533010658178
1.600   2.900   -51.483690587201814
1.600   3.000   -51.94392183141433
1.600   3.100   -52.36612260354656
1.600   3.200   -52.756765838265956
1.600   3.300   -53.12402132751118
1.600   3.400   -53.4747120804428
1.600   3.500   -53.81420051258787
1.600   3.600   -54.14479172094613
1.600   3.700   -54.470216709743475
1.600   3.800   -54.78958423282035
1.600   3.900   -55.10367410577313
1.600   4.000   -55.41288562935736
1.600   4.100   -55.715063670715196
1.600   4.200   -56.01302396273597
1.600   4.300   -56.304855457308705
1.600   4.400   -56.589933315680334
1.600   4.500   -56.868421346756215
1.600   4.600   -57.14068852765034
1.600   4.700   -57.403430896715896
1.600   4.800   -57.65314541320195
1.600   4.900   -57.88880193782465
1.600   5.000   -58.10850987072138
1.600   5.100   -58.306724689733834
1.600   5.200   -58.48696582811054
